problem_ID,problem_set_ID,question,kind,filename,q_len
38,3,"Triangle $ABC$ has an area of 100, with $AB=15$ and $AC=17$. Find the measure of the angle $A$. \\[0.5cm]
    Hint: Consider that the two configurations shown have the same base and altitude.
    \begin{flushleft}
      \begin{tikzpicture}[scale=0.3]
        \draw [-, thick] (51.7:17) node[above right]{$C$}--
          (0,0) node[left]{$A$}--
          (15,0) node[right]{$B$}--cycle;
        \node at (1, 0)[above right]{$\theta$};
        \node at (5, 7)[above left]{$17$};
        \node at (8, 0)[below]{$15$};

      \begin{scope}[shift={(35,0)}]
          \draw [-, thick] ({180-51.7}:17) node[above right]{$C'$}--
            (0,0) node[left]{$A'$}--
            (15,0) node[right]{$B'$}--cycle;
          \node at (0, 0)[above right]{$180-\theta$};
          \node at (-5.5, 5)[above left]{$17$};
          \node at (8, 0)[below]{$15$};
      \end{scope}

      \draw [-, dashed] (11.5,13.33)--(24,13.33);

      \end{tikzpicture}
      \end{flushleft} 


",question,1-16ENQuiz_trig.tex,965
39,4,"Express each value as a decimal, first writing the whole calculator display, and then the 3 sig-fig approximation. \hfill [4 marks]
  \begin{multicols}{2}
    \begin{enumerate}
    \item $\displaystyle \frac{2\pi}{3}$
    \item $\displaystyle \frac{\sqrt{3}}{2}$
    \end{enumerate}
  \end{multicols}

",question,1-20PreExam_trig.tex,302
40,4,"Express each value as a decimal, rounding to 3 sig-figs if necessary. \hfill [3 marks]
  \begin{multicols}{2}
    \begin{enumerate}
    \item $4.561 \times 10^4$
    \item $1.90 \times 10^{-3}$
    \end{enumerate}
  \end{multicols}

",question,1-20PreExam_trig.tex,233
41,4,"Find the volume of a spherical balloon 36 meters in diameter. \hfill [3 marks]
  
",question,1-20PreExam_trig.tex,82
42,4,"A cone has a height of 24 cm and volume of $220.5\pi \,\mathrm{ cm}^3$. Find its radius. \hfill [3 marks]
  
",question,1-20PreExam_trig.tex,109
43,4,"$\triangle ABC$ is shown with $m\angle C=90^\circ$ and the lengths of the triangle's sides are $BC=8$, $AC=6$, and $AB=10$.
  \begin{multicols}{2}
        \begin{tikzpicture}[scale=0.6]
          \draw [thick]
          (0,0)node[left]{$A$}--
          (6,0)node[ right]{$C$}--
          (6,8)node[right]{$B$}--cycle;
          \draw (6,0)++(-0.6,0)--++(0,0.6)--+(0.6,0);
          \node at (3,0)[below]{$6$};
          \node at (6,4)[right]{$8$};
          \node at (3,4.5)[above]{$10$};
        \end{tikzpicture}
        \begin{enumerate}
        \item Write down the value of $\sin A$.  \\ \hfill [1 mark]\vspace{1cm}
        \item Find the measure of $\angle A$.  \hfill [2 marks] \vspace{1cm}
      \end{enumerate}
    \end{multicols}

",question,1-20PreExam_trig.tex,741
44,4,"In right triangle $ABC$, hypotenuse $\overline{AB}$ has a length of 26 cm, and side $\overline{BC}$ has a length of 17.6 cm. What is the measure of angle $B$?
   
",question,1-20PreExam_trig.tex,163
45,4,"Find the slant height of a pyramid with square base 4 meters on a side and height of 4 m. \hfill [3 marks]
    
",question,1-20PreExam_trig.tex,112
46,4,"Triangle $ABC$ has an area of 25, with $AB=7$ and $AC=8$. 
   \begin{enumerate}
     \item Find the two possible measures for $\hat{A}$. \hfill [4 marks]
     \item Given that $\hat{A}$ is obtuse, find $BC$. \hfill [3 marks]
   \end{enumerate}

",question,1-20PreExam_trig.tex,245
47,4,"   \newpage

",newpage,1-20PreExam_trig.tex,13
48,4,"The following diagram shows triangle $ABC$ (not drawn to scale).
  \begin{center}
    \begin{tikzpicture}[scale=1.4, rotate=-25]
      \draw [-, thick] (50:3.5) node[above right]{$C$}--
        (0,0) node[left]{$A$}--
        (5,0) node[right]{$B$}--cycle;
      \node at (0.3, 0.15)[right]{$50^\circ$};
      \node at (4.5, 0.3)[above left]{$43^\circ$};
      \node at (3.7, 1.8)[below]{$11$};
    \end{tikzpicture}
    \end{center} 
    $BC=11$, $C\hat{A}B=50^\circ$, and $A\hat{B}C=43^\circ$
    \begin{enumerate}
      \item Find $AC$. \hfill [3 marks]
      \item Find the area of triangle $ABC$. \hfill [3 marks]
    \end{enumerate}

",question,1-20PreExam_trig.tex,640
49,4,"The following diagram shows quadrilateral $ABCD$ (not drawn to scale).
  \begin{center}
    \begin{tikzpicture}[scale=1.5, rotate=-20]
      \draw [-, thick] (100:3.5) node[above right]{$D$}--
        (0,0) node[below]{$B$}--
        (-5,0) node[below]{$A$}--cycle;
      \draw [-, thick] (100:3.5) --
      (55:3) node[right]{$C$}--
      (0,0);             
      \node at (58:2.9)[left]{$78^\circ$};
      \node at (50:1.5)[right]{$5.1$};
      \node at (-2.5,-0.2)[below]{$8.0$};
      \node at (78:3.5)[below]{$4.2$};
      \node at (-3,2.2)[below]{$8.3$};
    \end{tikzpicture}
    \end{center} 
    $AB=8.0$, $BC=5.1$, $CD=4.2$, $AD=8.3$, and $B\hat{C}D=78^\circ$
    \begin{enumerate}
      \item Find $BD$. \hfill [3 marks]
      \item Find $A\hat{B}D$. \hfill [3 marks]
    \end{enumerate}

",question,1-20PreExam_trig.tex,801
50,4,"\newpage

",newpage,1-20PreExam_trig.tex,10
51,4,"BMI is a measure of a healthy personal weight, 
  \[\displaystyle BMI = \frac{w}{h^2}\]
    where \\
    $w$ is a person's weight in kilograms, and \\
    $h$ is height in meters
    \begin{enumerate} 
        \item Given a height of 160 cm and weight of 54 kg, find the BMI  \hfill [3 marks]
        \item These measurements are not exact. Assuming the height is between 159-161 cm and weight 53-55 kg, find the bounds of the BMI.  \hfill [4 marks]
      \end{enumerate}


",question,1-20PreExam_trig.tex,474
52,5,"Express each value as a decimal, first writing the whole calculator display, and then the 3 sig-fig approximation. \hfill [4 marks]
  \begin{multicols}{2}
    \begin{enumerate}
    \item $\displaystyle \frac{\pi}{6}$
    \item $\displaystyle \frac{\sqrt{2}}{2}$
    \end{enumerate}
  \end{multicols}

",question,1-21Exam_trig.tex,301
53,5,"Express each value as a decimal, rounding to 3 sig-figs if necessary. \hfill [3 marks]
  \begin{multicols}{2}
    \begin{enumerate}
    \item $2.718 \times 10^5$
    \item $6.145 \times 10^{-2}$
    \end{enumerate}
  \end{multicols}

",question,1-21Exam_trig.tex,234
54,5,"Find the volume of a cone 6 centimeters in diameter and 10 cm tall. \hfill [3 marks]
  
",question,1-21Exam_trig.tex,88
55,5,"A round beach ball has a volume of $12348\pi \,\mathrm{ cm}^3$. Find its radius. \hfill [3 marks]
  
",question,1-21Exam_trig.tex,101
56,5,"Find the surface area of a cube with side length 5 cm. \hfill [2 marks]
  
",question,1-21Exam_trig.tex,75
57,5,"$\triangle ABC$ is shown with $m\angle C=90^\circ$ and the lengths of the triangle's sides are $BC=5$, $AC=12$, and $AB=13$. (not drawn to scale)
  \begin{multicols}{2}
        \begin{tikzpicture}[scale=0.6]
          \draw [thick]
          (0,0)node[left]{$A$}--
          (6,0)node[ right]{$C$}--
          (6,3.5)node[right]{$B$}--cycle;
          \draw (6,0)++(-0.6,0)--++(0,0.6)--+(0.6,0);
          \node at (3,0)[below]{$12$};
          \node at (6,2)[right]{$5$};
          \node at (3,2.2)[above]{$13$};
        \end{tikzpicture}
        \begin{enumerate}
        \item Write down the value of $\cos A$.  \\ \hfill [1 mark]\vspace{0.5cm}
        \item Find the measure of $\angle A$.  \hfill [2 marks] \vspace{1cm}
      \end{enumerate}
    \end{multicols}

",question,1-21Exam_trig.tex,768
58,5,"In right triangle $ABC$, hypotenuse $\overline{AB}$ has a length of 19.5 cm, and side $\overline{BC}$ has a length of 12.4 cm. What is the measure of angle $B$? \hfill [3 marks]
  
",question,1-21Exam_trig.tex,181
59,5,"Find the slant height of a cone with radius of 1.5 meters and height of 4 m. \hfill [3 marks]
  
",question,1-21Exam_trig.tex,97
60,5,"Triangle $ABC$ has an area of 22, with $AB=6.5$ and $AC=7.1$. 
  \begin{enumerate}
    \item Find the two possible measures for $\hat{A}$. \hfill [4 marks]
    \item Given that $\hat{A}$ is obtuse, find $BC$. \hfill [3 marks]
  \end{enumerate}

",question,1-21Exam_trig.tex,245
61,5,"   \newpage

",newpage,1-21Exam_trig.tex,13
62,5,"The following diagram shows triangle $ABC$ (not drawn to scale).
  \begin{center}
    \begin{tikzpicture}[scale=1.4, rotate=25]
      \draw [-, thick] (54:3) node[above right]{$C$}--
        (0,0) node[left]{$A$}--
        (4.5,0) node[right]{$B$}--cycle;
      \node at (0.3, 0.35)[right]{$54^\circ$};
      \node at (4, 0)[above left]{$48^\circ$};
      \node at (3.3, 1.7)[below]{$5$};
    \end{tikzpicture}
    \end{center} 
    $BC=5$, $C\hat{A}B=54^\circ$, and $A\hat{B}C=48^\circ$
    \begin{enumerate}
      \item Find $AC$. \hfill [3 marks]
      \item Find the area of triangle $ABC$. \hfill [3 marks]
    \end{enumerate}

",question,1-21Exam_trig.tex,633
63,5,"The following diagram shows quadrilateral $ABCD$ (not drawn to scale).
  \begin{center}
    \begin{tikzpicture}[scale=1.5, rotate=-30]
      \draw [-, thick] (100:3.5) node[above right]{$D$}--
        (0,0) node[below]{$B$}--
        (-5,0) node[below]{$A$}--cycle;
      \draw [-, thick] (100:3.5) --
      (55:3) node[right]{$C$}--
      (0,0);             
      \node at (58:2.9)[left]{$74^\circ$};
      \node at (50:1.5)[right]{$5.0$};
      \node at (-2.5,-0.2)[below]{$7.8$};
      \node at (78:3.5)[below]{$3.8$};
      \node at (-3,2.2)[below]{$9.1$};
    \end{tikzpicture}
    \end{center} 
    $AB=7.8$, $BC=5.0$, $CD=3.8$, $AD=9.1$, and $B\hat{C}D=74^\circ$
    \begin{enumerate}
      \item Find $BD$. \hfill [3 marks]
      \item Find $A\hat{B}D$. \hfill [3 marks]
    \end{enumerate}

",question,1-21Exam_trig.tex,801
64,5,"\newpage

",newpage,1-21Exam_trig.tex,10
65,5,"BMI is a measure of a healthy personal weight, 
  \[\displaystyle BMI = \frac{w}{h^2}\]
    where \\
    $w$ is a person's weight in kilograms, and \\
    $h$ is height in meters
    \begin{enumerate} 
        \item Given a height of 160 cm and weight of 54 kg, find the BMI  \hfill [3 marks]
        \item These measurements are not exact. Assuming the height is between 159-161 cm and weight 53-55 kg, find the bounds of the BMI.  \hfill [4 marks]
      \end{enumerate}

",question,1-21Exam_trig.tex,473
66,5,"The following diagram shows a pole BT 1.6 m tall on the roof of a vertical building. \\[0.25cm]
      The angle of depression from T to a point A on the horizontal ground is  
      $35^\circ$. \\[0.25cm]
      The angle of elevation of the top of the building from A is  
      $30^\circ$. 
        \begin{center}
          \begin{tikzpicture}[scale=0.4]
            %\draw [-, thick] (0,0)--(35:23);
            \draw [-, thick] (-4,0)--
            (0,0)--
              (17,0)--
              (22,0)--
              (22,10)--(17,10) node[left]{$B$};
            \draw [-, thick] (17,0)--(17,12)node[left]{$T$};
            \draw [fill] (0,0) circle [radius=0.1] node[below]{$A$};
            \node at (-3, 0)[below]{ground};
            \node at (19.5, 5)[above]{building};
          \end{tikzpicture}
          \end{center}
          Find the height of the building.  \hfill [7 marks]


",question,1-21Exam_trig.tex,892
67,6,"In an arithmetic sequence, the first term is 5 and the second term is 7.
\begin{enumerate}
    \item Find the common difference.
        \begin{flushright}[2]\end{flushright}
    \item Find the tenth term.\\[50pt]
        \begin{flushright}[2]\end{flushright}
    \item Find the sum of the first fifteen terms of the sequence. \\[50pt]
        \begin{flushright}[2]\end{flushright}
\end{enumerate}

",question,0510IB1_Test-statistics+regents.tex,399
68,6,"Simplify the expression $\sqrt{x^4 y^2}$.\\*[50pt]
        \begin{flushright}[2]\end{flushright}

",question,0510IB1_Test-statistics+regents.tex,98
69,6,"Carlos puts \$12,500 into an investment account with interest compounded continuously. If the annual interest rate is 3.15\% what is the balance after 5 years? %\\[80pt]
        \begin{flushright}[5]\end{flushright}

",question,0510IB1_Test-statistics+regents.tex,217
70,6,"The expression $(x + a)(x + b)$ can not be written as
\begin{enumerate}
    \item $a(x + b)+ b(x + b)$
    \item $x^2 + ax + bx + ab$ 
    \item  $x^2 + (a + b)x + ab$  
    \item $x(x + a)+ b(x + a)$
\end{enumerate}
        \begin{flushright}[2]\end{flushright}

",question,0510IB1_Test-statistics+regents.tex,264
71,6,"Consider a geometric sequence where the first term is 138 and the second term is 115.
\begin{enumerate}
    \item Find the common ratio, $r$.\\[20pt]
        \begin{flushright}[1]\end{flushright}
    \item Find the seventh term.\\[80pt]
        \begin{flushright}[2]\end{flushright}
    \item Find the least value of $n$ such that the $n$th term of the sequence is less than 20. \\[80pt]
        \begin{flushright}[3]\end{flushright}
\end{enumerate}

",question,0510IB1_Test-statistics+regents.tex,451
72,6,"\newpage
",newpage,0510IB1_Test-statistics+regents.tex,9
73,6,"Algebraically determine the values of $h$ and $k$ to correctly complete the identity stated below.
\[3x^3-5x^2+3=(x-2)(3x^2+hx+2)+k\] \\[2in] 
        \begin{flushright}[4]\end{flushright}

",question,0510IB1_Test-statistics+regents.tex,190
74,6,"Three consecutive terms of a geometric sequence are $x-5$, 8, and $x+7$.\\
Find the possible values of $x$.\\[3in]
    \begin{flushright}[6]\end{flushright}

",question,0510IB1_Test-statistics+regents.tex,158
75,6,"\newpage
",newpage,0510IB1_Test-statistics+regents.tex,9
76,6,"A bank account earns interest at a continuous interest rate of 3.925\% per year. The initial deposit is \$175. Which function models the value of the balance? \qquad [2]
\begin{enumerate}
    \item $P(t)=175 \cdot 1.04^{t}$
    \item $P(t)=175 (1+0.03925)^{t}$
    \item $P(t)=175 \cdot 1.03925^{t}$
    \item $P(t)=175 \cdot e^{0.04t}$
\end{enumerate}

",question,0510IB1_Test-statistics+regents.tex,354
77,6,"Write $\sqrt{a^5} \div a^{\frac{1}{2}}$ as an expression with positive, integer exponents.\\*[40pt]
    \begin{flushright}[3]\end{flushright}

",question,0510IB1_Test-statistics+regents.tex,143
78,6,"The function $p(t)=110e^{0.0325t}$ models the population of a city, in millions, $t$ years after 2010.
\begin{enumerate}
    \item Initially, as of 2010, what is the population in millions?%\\[20pt]
        \begin{flushright}[1]\end{flushright}
    \item What is the annual continuous rate, expressed as in percent, that the population increases?%\\[10pt]
        \begin{flushright}[1]\end{flushright}
    \item Find the population in 2015, rounded to the nearest million.\\[60pt]
        \begin{flushright}[2]\end{flushright}
    \item In what year will the population be approximately 138 million?
        \begin{flushright}[2]\end{flushright}
\end{enumerate}



",question,0510IB1_Test-statistics+regents.tex,665
79,7,"Simplify the expression $(2 + 2i)^2$, where $i$ is the imaginary unit. \\*[.75in]

",question,0524IB1_Test-regents-problems.tex,83
80,7,"Write $\sqrt[3]{x^4} \bullet \sqrt[3]{x^2}$ as a single term with a rational or integer exponent.\\*[1in]

",question,0524IB1_Test-regents-problems.tex,107
81,7,"The polynomial $f(x)$ shown has a leading coefficient of 1. Write an equation for $f(x)$ in factored form.\\*[20pt]
\begin{center}
    \begin{tikzpicture}[scale=2.25/4]
    \draw[step=1cm,gray,very thin] (-7,-7) grid (7,7);
    \draw[thick,<->] (-7.5,0) -- (7.5,0) node[anchor=north west] {\textbf{x}};
    \draw[thick,<->] (0,-7.5) -- (0,7.5) node[anchor=south east] {\textbf{y}};
    \foreach \x in {-6, -4, -2, 2, 4, 6} \draw (\x cm,1pt) -- (\x cm,-1pt) node[anchor=north] {$\x$};
    %\foreach \y in {5} \draw (1pt,\y cm) -- (-1pt,\y cm) node[anchor=east] {50}; %{$\y$};
    \tkzInit[xmin=-6,xmax=5,ymin=-7,ymax=7,ystep=1]   
    \tkzFct[color=black,thick,<->,domain = -4.3:4.9] {0.1*(x+3)*(x+1)*(x-4)};
    \end{tikzpicture}
\end{center}
The function $g$ is formed by translating function $f$ right 2 units. Sketch $y=g(x)$ on the same grid.

",question,0524IB1_Test-regents-problems.tex,848
82,7,"\newpage

",newpage,0524IB1_Test-regents-problems.tex,10
83,7,"Given: $f(x)=5x^2 - 2x + 1$ and $g(x)=x+1$\\*[5pt]
Express $f(x) \bullet g(x) + g(x)$ as a polynomial in standard form. \\*[3in]


",question,0524IB1_Test-regents-problems.tex,131
84,7,"When $x>0$ and $d$ is a positive integer, the expression $\displaystyle \left(9x \right)^\frac{d}{2}$ is equivalent to what expressed as a radical? \\*[2in]

",question,0524IB1_Test-regents-problems.tex,158
85,7,"What are the zeros for $f(x)=x^4+x^3-19x^2+11x+30$? (hint: graph it on the calculator) \\*[1in]  

",question,0524IB1_Test-regents-problems.tex,99
86,7,"\newpage

",newpage,0524IB1_Test-regents-problems.tex,10
87,7,"Sketch a graph of a cubic polynomial with the following characteristics: 
\begin{itemize}
\item three positive, real zeros
\item as $x \rightarrow + \infty$, $f(x) \rightarrow - \infty$
\item as $x \rightarrow - \infty$, $f(x) \rightarrow + \infty$
\end{itemize}
\begin{center}
    \begin{tikzpicture}[scale=2/4]
    \draw[thick,<->] (-7.5,0) -- (7.5,0) node[anchor=north west] {\textbf{x}};
    \draw[thick,<->] (0,-7.5) -- (0,7.5) node[anchor=south east] {\textbf{y}};
    \end{tikzpicture}
\end{center} %Alg2 Regents Jun2016 MC


",question,0524IB1_Test-regents-problems.tex,533
88,7,"Algebraically determine the values of $h$ and $k$ to correctly complete the identity stated below.
\[x^3+3x^2+5x+3=(x+1)(x^2+hx+k)\] %\\*[3in]

",question,0524IB1_Test-regents-problems.tex,144
89,7,"\newpage
",newpage,0524IB1_Test-regents-problems.tex,9
90,7,"The zeros of a cubic polynomial function $f$ are  $-5, 2, \text{ and } 5$. The polynomial has a negative leading coefficient, $a<0$. Sketch a graph of $y = f(x)$ on the grid below.\\*
\begin{center}
    \begin{tikzpicture}
    \draw[step=0.25in,gray,very thin] (0,0) grid (12.7,12.7);
    \end{tikzpicture}
\end{center}
Write an equation for $f(x)$ in factored form, assuming the leading coefficient is negative one.\\*[30pt]

",question,0524IB1_Test-regents-problems.tex,427
91,7,"\newpage

",newpage,0524IB1_Test-regents-problems.tex,10
92,7,"Explain how $\displaystyle \left( \frac{8}{y^3} \right)^\frac{2}{3}$ is equivalent to $\displaystyle \frac{4}{y^2}$. \\*[2.5in]


",question,0524IB1_Test-regents-problems.tex,130
93,7,"Given that the remainder when  $f(x)=2x^3+6x^2+5x+8$ is divided by $x+3$ is $-7$. What is the value of $f(-3)$? \\*[1.5in]

",question,0524IB1_Test-regents-problems.tex,124
94,7,"Given $i$ is the imaginary unit, $(3-xi)^2$ in simplest form is what?  \\*[1.25in]


",question,0524IB1_Test-regents-problems.tex,85
95,7,"\newpage

",newpage,0524IB1_Test-regents-problems.tex,10
96,7,"For the polynomial with graph shown, state 
\begin{enumerate}
\item its degree \\[0.25in]
\item how many distinct zeros it has \\[0.25in]
\item the sign of its leading coefficient \\[0.25in]
\end{enumerate}

    \begin{tikzpicture}[scale=2/4]
    %\draw[step=1cm,gray,very thin] (-7,-7) grid (7,7);
    \draw[thick,<->] (-7.5,0) -- (7.5,0) node[anchor=north west] {\textbf{x}};
    \draw[thick,<->] (0,-7.5) -- (0,7.5) node[anchor=south east] {\textbf{y}};
    %\foreach \x in {-6, -4, -2, 2, 4, 6} \draw (\x cm,1pt) -- (\x cm,-1pt) node[anchor=north] {$\x$};
    %\foreach \y in {5} \draw (1pt,\y cm) -- (-1pt,\y cm) node[anchor=east] {50}; %{$\y$};
    \tkzInit[xmin=-6,xmax=6,ymin=-7,ymax=7,ystep=1]   
    \tkzFct[color=black,thick,<->,domain = -4.3:5.2] {-0.1*(x+3)*(x)*(x-4)};
    \end{tikzpicture}

",question,0524IB1_Test-regents-problems.tex,806
97,7,"Simplify the expression $\displaystyle \frac{5x^3+35x^2-10x}{5x}$, where $x \neq 0$.  \\*[1in]



",question,0524IB1_Test-regents-problems.tex,98
98,7,"\newpage

",newpage,0524IB1_Test-regents-problems.tex,10
